epoch,loss,nmse_metric,nmse_db_metric,val_loss,val_nmse_metric,val_nmse_db_metric,learning_rate
0,29.665227644995863,28.28657438864452,-5.833084548917092,0.07886406291837547,0.07698695402073595,-11.741595289944021,0.0002997958659046622
1,0.06708093759449844,0.06550291820304685,-12.543434051709413,0.030523998891957466,0.02979568670817468,-15.63883972766438,0.0002991825229072404
2,0.037322214614374634,0.03643942327799303,-15.071078856035593,0.1407159029872154,0.13744758903036647,-8.634130601815606,0.0002981618010362932
3,0.026075061984769055,0.025457911331798352,-16.67733380226258,0.021898151884150473,0.02136462245437753,-16.871418858342953,0.0002967366461786677
4,0.02083901436824965,0.02034542128583298,-17.55883744554201,0.011721262511687865,0.01143814512710254,-19.69809647738096,0.00029491111027197034
5,0.018763660173487465,0.01831868043673479,-18.192437144451702,0.008293988609568011,0.008084312926122196,-21.396201553132542,0.0002926900437280446
6,0.01620285053193571,0.015821451168770446,-18.793712665907844,0.006792284833928947,0.006629563406468976,-22.286789895668186,0.00029007952987291936
7,0.014623900691168505,0.014278113054800848,-19.302766517184956,0.0063010808525574185,0.00614901496275634,-22.576949085903976,0.00028708671869807917
8,0.012717283379300986,0.012417364269891778,-19.852594707549986,0.00611248136797096,0.005963793989199331,-22.6673259722866,0.0002837198072772035
9,0.012511887495555514,0.012216656215947499,-20.056290852083947,0.0054032043807756055,0.005273868682464395,-23.404726896086746,0.0002799880173150292
10,0.01145071609368026,0.01118102600297184,-20.387905146264604,0.010142547237691263,0.009889004221226554,-20.209080557165883,0.0002759010489622415
11,0.011152070977380536,0.01088909475263651,-20.54850925706585,0.005701829178565875,0.00556565769665142,-22.97573817746238,0.0002714716574586863
12,0.010031331844336343,0.009796493563290062,-20.992494721105317,0.006589745970842437,0.006435233025597029,-22.326628416298476,0.000266709811263298
13,0.010013165480896794,0.00977727255276289,-21.021660183421893,0.007513103806974576,0.007329922148725798,-21.566871223457866,0.0002616302377668108
14,0.009484898052763655,0.009262403399554286,-21.226300392956464,0.0042628360076251625,0.0041607930885837335,-24.453234061767734,0.0002562462873170822
15,0.00929403553620756,0.009075068677102921,-21.35299545032304,0.00397308104594863,0.0038793021689588116,-24.73370293605891,0.0002505719952837381
16,0.008536964489701033,0.008336315036353624,-21.727237714881298,0.0048036888770057505,0.004680477816287827,-23.852285276455266,0.0002446242903153264
17,0.00841418504282264,0.008216265151045784,-21.797975520808432,0.004494563322812494,0.004384921580701955,-23.984049138673946,0.00023841801245971548
18,0.007940730743994952,0.007754703735837671,-22.086661028171978,0.004090732444501584,0.003985545374529112,-24.447459445516216,0.00023197167748872005
19,0.0074892754274030245,0.007314605208175397,-22.367247187607823,0.0035135410085175957,0.0034241148896020186,-25.440513364787382,0.0002253021980210706
20,0.007407667299442376,0.007234831730106527,-22.41332995775353,0.003311107308256943,0.00323231792538202,-25.750999899127468,0.00021842784123481733
21,0.007097956285894601,0.00693113279342287,-22.609673632003325,0.004907232724720042,0.004788155877916351,-23.508671890250085,0.00021136830938258642
22,0.007024818728708525,0.006860725170746594,-22.623655645178648,0.01663632871246917,0.0162009601119635,-18.007159855025204,0.00020414121167922834
23,0.006847854696284089,0.006687462245924931,-22.793381324997267,0.0031320992228028796,0.0030563353009928147,-25.883631277992254,0.00019676719492928596
24,0.006477674400682348,0.006326060532406519,-23.03282159876005,0.004680664959591904,0.00457384662992178,-23.95744462724947,0.0001892655318834686
25,0.006094175560649734,0.0059511466143388776,-23.357556419964798,0.002813326377749005,0.0027469699221378857,-26.61705499116002,0.00018165766714251834
26,0.00619656093183953,0.006051569611077633,-23.252259570059074,0.002624497371734206,0.0025598337230979436,-26.913724883786198,0.0001739663330772641
27,0.0061143870355705905,0.0059705978623273695,-23.35305332140003,0.0030529459136691157,0.002984477079267619,-25.766323744923415,0.0001662107422909959
28,0.005787054327133027,0.005651636695491095,-23.601100266466133,0.0036789241911118044,0.0035898504671949185,-24.884350066602227,0.00015841022056882096
29,0.005594423685655296,0.005463819954768192,-23.75741910052793,0.002594202976873714,0.0025320984754566077,-27.02757060248119,0.00015058994173268773
30,0.0055358141093517395,0.005405905772565419,-23.79282986918484,0.0031318019843011233,0.0030566268491571415,-25.7285430656302,0.00014276846106670422
31,0.005453903345279019,0.005326295266073276,-23.887121556283997,0.0023830483237082265,0.0023259516853651806,-27.363927953943566,0.00013496815647585445
32,0.0052343366080691706,0.005111751031164288,-24.108986619056495,0.002316883432437613,0.002262753494067062,-27.676784675335362,0.00012721133752479537
33,0.005146868544633937,0.005026251530031935,-24.20280361318351,0.002307632706010309,0.0022527694386914707,-27.623389095482402,0.00011951735273328646
34,0.005042784037341229,0.004924900298601088,-24.297305792184844,0.0038760994320066813,0.0037631114987420173,-24.61324765261762,0.0001119082269681519
35,0.004845732589892764,0.004732386296515592,-24.480618530874537,0.002567569432429614,0.0025048798849492846,-26.740521477554626,0.00010440480102452113
36,0.004753994075177228,0.00464279788358817,-24.63332520978039,0.0022233164227557453,0.0021701354917240028,-27.688245354250956,9.702762619404587e-05
37,0.004580880005413783,0.004473749117065896,-24.846580126944172,0.002300310781229746,0.002247256389443847,-27.385562187406464,8.979778237889532e-05
38,0.004572737063296786,0.004465932191670886,-24.83990934650639,0.002234895426690094,0.002181548500355993,-27.698455755052457,8.27333036181175e-05
39,0.004464956827904725,0.00436053186703904,-24.992378897547578,0.002137839132049387,0.0020847811280968703,-27.75544835177483,7.585443249204364e-05
40,0.00440555532659756,0.004302487178038513,-25.062082698338553,0.002484698122972493,0.0024247699515956285,-27.063935276649822,6.918161547786687e-05
41,0.004322152064812708,0.004220963098959663,-25.188895346275267,0.0019393896721537074,0.001893428982710135,-28.521253461089003,6.272986505284037e-05
42,0.004255356623313899,0.004155793560524044,-25.305308158333336,0.0019476872181974736,0.0019002367675796275,-28.443903437662524,5.65185101025127e-05
43,0.004145862966021274,0.004048925666254372,-25.419424221650527,0.0018811052576920852,0.0018369154141529992,-28.62595085552634,5.0564563038018693e-05
44,0.004049833701090096,0.00395504864132582,-25.520990232242237,0.0018835947299945298,0.0018376763104163598,-28.61685222475299,4.488433125061483e-05
45,0.003984393996303656,0.0038911951207283232,-25.64911035790296,0.0017901584768100077,0.001747105222303874,-28.945621633567068,3.949401335566532e-05
46,0.0040018863603546355,0.003908364755254069,-25.648942074519653,0.0017587360712908264,0.0017166165178539234,-28.99887917866884,3.440705489997398e-05
47,0.0038921369716485173,0.0038011284906669792,-25.798713683994595,0.0017286535862826354,0.0016872826891894544,-29.166653240644276,2.963806586135847e-05
48,0.003884150197701632,0.0037932903215535017,-25.841984271055942,0.0017095065163661807,0.0016686356109285724,-29.181017755909533,2.5200108124535302e-05
49,0.0038541812049639867,0.003764023563740368,-25.85053421991174,0.0016818179029548372,0.0016416213425834653,-29.293331035795457,2.1105336905595167e-05
50,0.003813753520862051,0.003724493483144903,-25.92747699698144,0.0016687970805884086,0.0016284720972583,-29.306579348007777,1.736540273663422e-05
51,0.003756894087707702,0.0036689914425975605,-25.994013067672,0.0016529934297230668,0.0016130854637709043,-29.352838274263362,1.3989634466318743e-05
52,0.003812908792337053,0.003723749943816672,-25.918939970425743,0.0016431052730606893,0.0016036709988593053,-29.407480559369123,1.0987757316749256e-05
53,0.0037231868344534016,0.0036360348142176436,-26.0309141732702,0.0016283246712250374,0.0015890528929323282,-29.463844529455027,8.367993192593313e-06
54,0.00373435074699836,0.0036469450525232244,-26.02965596195742,0.0016135987381257965,0.0015747978523694417,-29.539099328980196,6.137517421091565e-06
55,0.0037037320747261133,0.00361706757977591,-26.05950308818076,0.0016069305855979917,0.0015684112149092263,-29.563124943602435,4.302439099400268e-06
56,0.003697564068612843,0.0036110477267687264,-26.07771131945051,0.001603809689895574,0.0015653158937863675,-29.572184265828767,2.867935140675165e-06
57,0.0037232206486072007,0.0036360741795932235,-26.064706373577586,0.0015979415808649357,0.0015596023821882465,-29.59607764677086,1.8374826157981826e-06
58,0.0037105598094029314,0.0036237087840817273,-26.08545705566145,0.0015949667860385868,0.0015566931349744002,-29.603258442642396,1.2143557752145822e-06
59,0.0037248240839961415,0.0036377123750671557,-26.113485536709096,0.0015959597319073788,0.0015576999575943834,-29.598763781233828,1.0001105357607755e-06
