epoch,loss,nmse_db_metric,nmse_metric,val_loss,val_nmse_db_metric,val_nmse_metric
0,702.1806030273438,5.447770118713379,656.36474609375,1.8092900514602661,2.344637870788574,1.7157896757125854
1,1.324460506439209,0.6762093901634216,1.2524880170822144,0.5188701152801514,-3.252802610397339,0.49047017097473145
2,0.44203177094459534,-4.380272388458252,0.4177822470664978,0.21052046120166779,-7.280245304107666,0.19881144165992737
3,0.2803104519844055,-6.284309387207031,0.26482415199279785,0.2162468582391739,-7.057928085327148,0.20422454178333282
4,0.2164313644170761,-7.541679382324219,0.20444686710834503,0.1804744154214859,-7.858820915222168,0.17043113708496094
5,0.17274512350559235,-8.443805694580078,0.1631641834974289,0.12925657629966736,-9.387263298034668,0.12210464477539062
6,0.14417997002601624,-9.149136543273926,0.13617216050624847,0.1226884201169014,-9.597505569458008,0.11586511880159378
7,0.12762969732284546,-9.629932403564453,0.12054302543401718,0.11137744039297104,-10.050893783569336,0.10519533604383469
8,0.11800634115934372,-10.052626609802246,0.11144907772541046,0.10790089517831802,-10.192378044128418,0.10191323608160019
9,0.10703647881746292,-10.45073413848877,0.1010885238647461,0.0896635577082634,-11.053681373596191,0.08465389162302017
10,0.09390845149755478,-10.947546005249023,0.08868324011564255,0.08361385017633438,-11.396696090698242,0.07894622534513474
11,0.0918034017086029,-11.157636642456055,0.08669769763946533,0.08243946731090546,-11.453011512756348,0.07784777134656906
12,0.0895436629652977,-11.332419395446777,0.08456967025995255,0.06462867558002472,-12.66446304321289,0.06103314459323883
13,0.07849860936403275,-11.857786178588867,0.07414223998785019,0.08527107536792755,-11.463663101196289,0.08061207085847855
14,0.07875280827283859,-11.846590042114258,0.07438259571790695,0.057282865047454834,-13.208893775939941,0.05410946160554886
15,0.07089695334434509,-12.321436882019043,0.06696715950965881,0.05426156893372536,-13.396368980407715,0.0512499064207077
16,0.06525114178657532,-12.57115364074707,0.06163691356778145,0.07824575901031494,-11.744986534118652,0.07394984364509583
17,0.061259981244802475,-12.880961418151855,0.05787292867898941,0.13070236146450043,-9.150747299194336,0.1234365850687027
18,0.05941871553659439,-13.004963874816895,0.05613964796066284,0.057097043842077255,-12.961276054382324,0.053937878459692
19,0.05279668793082237,-13.38442325592041,0.0498824305832386,0.04450240731239319,-14.028651237487793,0.04204486310482025
20,0.04845350608229637,-13.693611145019531,0.04578154906630516,0.03944944217801094,-14.588817596435547,0.0372728668153286
21,0.04757402092218399,-13.81100082397461,0.04495228826999664,0.03877171874046326,-14.589417457580566,0.03664005920290947
22,0.04435599222779274,-14.0676908493042,0.04191188886761665,0.04062824696302414,-14.375894546508789,0.038389902561903
23,0.043156884610652924,-14.199958801269531,0.04078158363699913,0.03865451738238335,-14.61540412902832,0.036540742963552475
24,0.038826633244752884,-14.624897956848145,0.03669092804193497,0.040266621857881546,-14.401697158813477,0.03806101158261299
25,0.038010019809007645,-14.760910987854004,0.03592028096318245,0.03285866230726242,-15.336039543151855,0.03105243295431137
26,0.03650323301553726,-14.945528030395508,0.034496065229177475,0.034517474472522736,-15.12929630279541,0.03262738138437271
27,0.03442005440592766,-15.18976879119873,0.03252815455198288,0.030868036672472954,-15.614831924438477,0.029172910377383232
28,0.03270493447780609,-15.438361167907715,0.0309084951877594,0.031390804797410965,-15.597549438476562,0.02967175282537937
29,0.030801789835095406,-15.674999237060547,0.029111526906490326,0.030412906780838966,-15.746551513671875,0.028741057962179184
30,0.03002067655324936,-15.79265022277832,0.028373651206493378,0.027576038613915443,-16.21560287475586,0.026065049692988396
31,0.029534297063946724,-15.909754753112793,0.02791444957256317,0.029034804552793503,-15.912191390991211,0.027442283928394318
